vehicle_id,vehicle_type,route_distance_miles,max_route_distance,route_load,vehicle_capacity,capacity_utilization,number_of_customer_stops,fixed_cost,cost_per_mile,route_travel_cost,route_total_cost,vehicle_used
V1,Box Truck,246.57,280,128,138,0.928,9,130,2.4,591.77,721.77,True
V2,Box Truck,187.74,280,133,138,0.964,8,130,2.4,450.58,580.58,True
V3,Box Truck,0.0,280,0,138,0.0,0,130,2.4,0.0,0.0,False
V4,Van,166.7,180,88,92,0.957,6,90,1.75,291.72,381.72,True
V5,Van,41.05,180,43,92,0.467,2,90,1.75,71.84,161.84,True
